"SESCROWDFUNDING_PLUGIN";"Crowdfunding Plugin"
"SES - Crowd Funding Plugin";"Crowdfunding"

# SESCROWDFUNDING_DONATION_OWNER
"_EMAIL_SESCROWDFUNDING_DONATION_OWNER_TITLE";"Crowdfunding Donation for Crowdfunding Owner"
"_EMAIL_SESCROWDFUNDING_DONATION_OWNER_DESCRIPTION";"This is the email that gets sent to a crowdfunding owner when someone has been donate amount."
"_EMAIL_SESCROWDFUNDING_DONATION_OWNER_SUBJECT";"[buyer_name] When someone has donate some amount."
"_EMAIL_SESCROWDFUNDING_DONATION_OWNER_BODY";"[header]

[buyer_name] has been donate some amount: [crowdfunding_title]

Crowdfunding Link: http://[host][object_link]

[footer]"



# SESCROWDFUNDING_DONATION_ADMINEMAIL
"_EMAIL_SESCROWDFUNDING_DONATION_ADMINEMAIL_TITLE";"Crowdfunding Donation for Site admin"
"_EMAIL_SESCROWDFUNDING_DONATION_ADMINEMAIL_DESCRIPTION";"This is the email that gets sent to a site admin when someone has donate amount for crowdfunding."
"_EMAIL_SESCROWDFUNDING_DONATION_ADMINEMAIL_SUBJECT";"[buyer_name]When someone has donate some amount."
"_EMAIL_SESCROWDFUNDING_DONATION_ADMINEMAIL_BODY";"[header]

[buyer_name] has been donate some amount: [crowdfunding_title]

Actual Crowdfunding Cost: [total_useramount]

Your Commision: [commission_amount]

Total Paid: [total_amount]

Crowdfunding Link: http://[host][object_link]

[footer]"


# SESCROWDFUNDINGINVOICE_DONER
"_EMAIL_SESCROWDFUNDINGINVOICE_DONER_TITLE";"Crowdfunding Donation Invoice to Donor"
"_EMAIL_SESCROWDFUNDINGINVOICE_DONER_DESCRIPTION";"This is the email that gets sent to a donor when donate amount."
"_EMAIL_SESCROWDFUNDINGINVOICE_DONER_SUBJECT";"Your Invoice for Crowdfunding Donation"
"_EMAIL_SESCROWDFUNDINGINVOICE_DONER_BODY";"[header]

[invoice_body]

[footer]"


# SESCROWDFUNDING_PAYMENT_REQUESTADMIN
"_EMAIL_SESCROWDFUNDING_PAYMENT_REQUESTADMIN_TITLE";"Crowdfunding Payment Request By Crowdfunding Owner"
"_EMAIL_SESCROWDFUNDING_PAYMENT_REQUESTADMIN_DESCRIPTION";"This is the email that gets sent to a site admin when crowdfunding owner send a request for crowdfunding payment."
"_EMAIL_SESCROWDFUNDING_PAYMENT_REQUESTADMIN_SUBJECT";"Payment Request by crowdfunding owner [crowdfunding_title]"
