"Choose A Package";"Choose A Package"
"Select a package that suits you most to start creating pages on this website.";"Select a package that suits you most to start creating pages on this website."
"Upgrade Package";"Upgrade Package"
"Upgrade Your Package";"Upgrade Your Package"
"Choose a higher package to create pages on this website and get benefited with advance features and functionalities.";"Choose a higher package to create pages on this website and get benefited with advance features and functionalities."
"Make Payment to subscribe to ";"Make Payment to subscribe to "
"Choose the gateway below to continue to make the payment of-";"Choose the gateway below to continue to make the payment of-"
"Do you want to change your Page Package. Once you confirm, you won’t be able to degrade your Package to previous.";"Do you want to change your Page Package. Once you confirm, you won’t be able to degrade your Package to previous."
"Go to Page Dashboard";"Go to Page Dashboard"
"One-time fee of %1$s";"One-time fee of %1$s"
"%1$s for %2$s %3$s";"%1$s for %2$s %3$s"
"Subscribed on: ";"Subscribed on: "
"Next Payment Date: ";"Next Payment Date: "
"See All Transactions";"See All Transactions"
"Cancel Subscription?";"Cancel Subscription?"
"Are you sure you want to cancel this subscription plan as this action cannot be undone?";"Are you sure you want to cancel this subscription plan as this action cannot be undone?"
"ACTIVITY_TYPE_SESPAGE_PAYMENT_NOTIFY_PAGE";"When my page is pending because of payment."
