"Signin / Signup Popup & Page Plugin";"Signin / Signup Popup & Page Plugin"
"Login";"Login"
"Get Access to your Account now by logging in with your details.";"Get Access to your Account now by logging in with your details."
"Sign In";"Sign In"
"New User? Sign Up";"New User? Sign Up"
"OR";"OR"
"Sign in with your social profile";"Sign in with your social profile"
"Sign up with ";"Sign up with "
"Facebook";"Facebook"
"Twitter";"Twitter"
"Log In to your Account";"Log In to your Account"
"SIGN IN";"SIGN IN"
"Show Password";"Show Password"
"Hide Password";"Hide Password"
"Sign Up";"Sign Up"
""Create you account now with your details."";""Create you account now with your details.""
"Already registered? Login";"Already registered? Login"
"Create your Account";"Create your Account"
"Enter your email and password ";"Enter your email and password "
"to sign in";"to sign in"
"Sign in with ";"Sign in with "
"Enter your details ";"Enter your details "
"to sign up";"to sign up"
"Or";"Or"
"Welcome";"Welcome"
"Sign in to your account!";"Sign in to your account!"
"Create an account";"Create an account"
"New here?";"New here?"
"Sign Up and Discover great amount of new opportunities!";"Sign Up and Discover great amount of new opportunities!"
"Google ads";"Google ads"
"Sign in with Facebook";"Sign in with Facebook"
"Sign in with Twitter";"Sign in with Twitter"
"Sign In and Discover great amount of new opportunities!";"Sign In and Discover great amount of new opportunities!"
"NOT REGISTERD? ";"NOT REGISTERD? "
"ALREADY ACCOUNT ";"ALREADY ACCOUNT "
"Sign up with Twitter";"Sign up with Twitter"
"Login and discover great amount of new opportunities!";"Login and discover great amount of new opportunities!"
"New User? Sign Up Here.";"New User? Sign Up Here."
"Signup";"Signup"
"Existing User? Log In";"Existing User? Log In"
"Sign In /";"Sign In /"
"OR Login Using";"OR Login Using"
"or Login Using";"or Login Using"
"LOGIN";"LOGIN"
"SIGNUP";"SIGNUP"
"Log In";"Log In"
"Don't have an account? ";"Don't have an account? "
" Twitter";" Twitter"
" Facebook";" Facebook"
"Sign In ";"Sign In "
"Or	";"Or "
"You have already account ";"You have already account "





