"SES - Advanced Videos & Channels Plugin";"Videos & Channels"
"SESVIDEO_PLUGIN";"Advanced Videos & Channels Plugin"
"Video";"Video"
"Videos";"Videos"
"video";"video";"videos"
"Post New Video";"Post New Video"
"Videos using the tag";"Videos using the tag"
"By";"By"
"View All Videos";"View All Videos"
"Browse Videos";"Browse Videos"
"My Videos";"My Videos"

"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s rating";"%s rating";"%s ratings"
"%s video";"%s video";"%s videos"
"%s favourite";"%s favourite";"%s favourites"
"%s photo";"%s photo";"%s photos"
"%s follow";"%s follow";"%s follows"
"%s Follower";"%s Follower";"%s Followers"
"%s artist found.";"%s artist found.";"%s artists found."
"%s follower found.";"%s follower found.";"%s followers found."
"%s playlist found.";"%s playlist found.";"%s playlists found."

"ADMIN_ACTIVITY_TYPE_VIDEO_NEW";"SES Advanced Videos & Channels Plugin - When a user (subject) posts a new video (object)."
"ADMIN_ACTIVITY_TYPE_COMMENT_VIDEO";"SES Advanced Videos & Channels Plugin - When a user (subject) comments on another user's (object) videos."
"ADMIN_ACTIVITY_TYPE_SESVIDEO_CHANEL_CREATE";"SES Advanced Videos & Channels Plugin - When a user (subject) posts a new channel (object)."
"ADMIN_ACTIVITY_TYPE_SESVIDEO_CHANEL_FOLLOW";"SES Advanced Videos & Channels Plugin - When a user (subject) follow any channel (object)."
"ADMIN_ACTIVITY_TYPE_SESVIDEO_CHANEL_NEW";"SES Advanced Videos & Channels Plugin - When a user (subject) posts a new channel (object)."
"ADMIN_ACTIVITY_TYPE_SESVIDEO_CHANEL_RATING";"SES Advanced Videos & Channels Plugin -  When a user rates another user's channel."
"ADMIN_ACTIVITY_TYPE_SESVIDEO_CHANEL_FAVOURITE";"SES Advanced Videos & Channels Plugin - when a user mark another user's channel as favourite."
"ADMIN_ACTIVITY_TYPE_SESVIDEO_PLAYLIST_FAVOURITE";"SES Advanced Videos & Channels Plugin - when a user mark another user's playlist as favourite."
"ADMIN_ACTIVITY_TYPE_SESVIDEO_VIDEO_FAVOURITE";"SES Advanced Videos & Channels Plugin - when a user mark another user's video as favourite."
