"ITEM_TYPE_SESGROUP_ALBUM";"Groups"
"SES - Group Communities Plugin";"Groups"
"SES - Group Directories Plugin";"Group Directories"
"Album Title";"Album Title"
"Album Description";"Album Description"
"Drag & Drop";"Drag & Drop"
"Multi Upload";"Multi Upload"
"From URL";"From URL"
"Drag & Drop Photos Here";"Drag & Drop Photos Here"
"Create New Group";"Create New Group"
"Group Title";"Group Title"
"Custom Url";"Custom Url"
"Check Availability";"Check Availability"
"Tags (Keywords)";"Tags (Keywords)"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Profile Type";"Profile Type"
"Design 1";"Design 1"
"Design 2";"Design 2"
"Design 3";"Design 3"
"Design 4";"Design 4"
"Group Profile Group Layout";"Group Profile Group Layout"
"Set Your Group Template";"Set Your Group Template"
"Send Message to Group Owner";"Send Message to Group Owner"
"Price (USD)";"Price (USD)"
"Price Type";"Price Type"
"Choose Price Type";"Choose Price Type"
"Show Price";"Show Price"
"Show Starting Price";"Show Starting Price"
"Mark Group as Adult";"Mark Group as Adult"
"The users of your site which are below 18 will not able to see your group";"The users of your site which are below 18 will not able to see your group"
"Enable Group Lock";"Enable Group Lock"
"Set Lock Password";"Set Lock Password"
"Enable Group Joining";"Enable Group Joining"
"Do you want to allow users to join your Group?";"Do you want to allow users to join your Group?"
"Approve members";"Approve members"
"When people try to join your Group, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join your Group, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."
"Auto-Approve Posts";"Auto-Approve Posts"
"When people try to post on your Group, should their posts be auto-approved or wait for Group admins approval? The feed will display on the posted date in your Group timeline.";"When people try to post on your Group, should their posts be auto-approved or wait for Group admins approval? The feed will display on the posted date in your Group timeline."
"New posts will be auto-approved.";"New posts will be auto-approved."
"New posts must be approved by this Group admins.";"New posts must be approved by this Group admins."
"Member's Singular Title";"Member's Singular Title"
"Member's Plural Title";"Member's Plural Title"
"Other's Tagging Your Group";"Other's Tagging Your Group"
"Let members invite others?";"Let members invite others?"
"Enter the title for members of your Group. E.g. Music Artist, Blogger, Painter, Dance Lover etc.";"Enter the title for members of your Group. E.g. Music Artist, Blogger, Painter, Dance Lover etc."
"Enter the title for members of your Group. E.g. Music Artists, Bloggers, Painters, Dance Lovers etc.";"Enter the title for members of your Group. E.g. Music Artists, Bloggers, Painters, Dance Lovers etc."
"Do you want to allow other People and Groups to tag your Group?";"Do you want to allow other People and Groups to tag your Group?"
"Yes, allow members to invite other people.";"Yes, allow members to invite other people."
"No, do not allow members to invite other people.";"No, do not allow members to invite other people."
"Main Photo";"Main Photo"
"Add photo for your group";"Add photo for your group"
"Group Guests Only";"Group Guests Only"
"Who may see this group?";"Who may see this group?"
"Associated Sub Group Creation Privacy";"Associated Sub Group Creation Privacy"
"Who may create sub group in this group?";"Who may create sub group in this group?"
"Choose the Networks to which this Group will be displayed.";"Choose the Networks to which this Group will be displayed."
"Who may post comments on this group?";"Who may post comments on this group?"
"Who may upload albums to this group?";"Who may upload albums to this group?"
"Album Upload Privacy";"Album Upload Privacy"
"Video Upload Privacy";"Video Upload Privacy"
"Who may upload videos to this group?";"Who may upload videos to this group?"
"Status";"Status"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"People can search for this group";"People can search for this group"
"Add background photo for your group";"Add background photo for your group"
"Remove Photo";"Remove Photo"
"Profile Photos";"Profile Photos"
"Cover Photos";"Cover Photos"
"Thank you for posting. Your post has been submitted for Group Owner's approval and will display once it is approved.";"Thank you for posting. Your post has been submitted for Group Owner's approval and will display once it is approved."
"The selected albums have been successfully deleted";"The selected albums have been successfully deleted"
"Custom Url not available.Please select other.";"Custom Url not available.Please select other."
"Monthly Like Report For ";"Monthly Like Report For "
"Monthly Likes";"Monthly Likes"
"Monthly Comment Report For ";"Monthly Comment Report For "
"Monthly Comments";"Monthly Comments"
"Monthly Favourite Report For ";"Monthly Favourite Report For "
"Monthly Favourites";"Monthly Favourites"
"Monthly Views Report For ";"Monthly Views Report For "
"Monthly Views";"Monthly Views"
"Weekly Like Report For ";"Weekly Like Report For "
"Weekly Likes";"Weekly Likes"
"Weekly Comment Report For ";"Weekly Comment Report For "
"Weekly Comments";"Weekly Comments"
"Weekly Favourite Report For ";"Weekly Favourite Report For "
"Weekly Favourites";"Weekly Favourites"
"Weekly Views Report For ";"Weekly Views Report For "
"Weekly Views";"Weekly Views"
"Daily Like Report for ";"Daily Like Report for "
"Daily Likes";"Daily Likes"
"Daily Comment Report for ";"Daily Comment Report for "
"Daily Comments";"Daily Comments"
"Daily Favourite Report for ";"Daily Favourite Report for "
"Daily Favourites";"Daily Favourites"
"Daily Views Report for ";"Daily Views Report for "
"Daily Views";"Daily Views"
"Hourly Like Report for ";"Hourly Like Report for "
"Hourly Likes";"Hourly Likes"
"Hourly Comment Report for ";"Hourly Comment Report for "
