"SOCIALSHARE_PLUGIN";"Professional Share Plugin"

"Email a Friend";"Email a Friend"
"Share you Content";"Share you Content"
"Please enter valid your email address.";"Please enter valid your email address."
"Please enter valid sender email address.";"Please enter valid sender email address."
"Please enter valid receiver email address.";"Please enter valid receiver email address."
"Please enter note.";"Please enter note."
"Message sent!";"Message sent!"
"Close";"Close"
"Share";"Share"
"Social Share";"Social Share"
"<b>%s</b> shares";"<b>%s</b> shares"
"More";"More"
"Share";"Share"
"Shares";"Shares"
"Tweet";"Tweet"
"Tweets";"Tweet"
"Pin";"Pin"
"Pins";"Pins"
"Email";"Email"
"Emails";"Emails"
"Facebook";"Facebook"
"Twitter";"Twitter"
"Pinterest";"Pinterest"
"Google Plus";"Google Plus"
"Linkedin";"Linkedin"
"Gmail";"Gmail"
"Tumblr";"Tumblr"
"Digg";"Digg"
"StumbleUpon";"StumbleUpon"
"Myspace";"Myspace"
"Facebook Messenger";"Facebook Messenger"
"Rediff";"Rediff"
"Google Bookmark";"Google Bookmark"
"Flipboard";"Flipboard"
"Skype";"Skype"
"WhatsApp";"WhatsApp"
"Email";"Email"
"VKontakte";"VKontakte"
"Yahoo";"Yahoo"

"Choose Share Type";"Choose Share Type"
"Share on your Profile";"Share on your Profile"
"Share on your friend''s Profile";"Share on your friend''s Profile"
"Share in email";"Share in email"
"Share in a private message";"Share in a private message"


"_EMAIL_CONTENT_SHARE_EMAIL_TITLE";"Content Share Email"
"_EMAIL_CONTENT_SHARE_EMAIL_DESCRIPTION";"This email sent to friends email."
"_EMAIL_CONTENT_SHARE_EMAIL_SUBJECT";"[sender_name] share content with you."
"_EMAIL_CONTENT_SHARE_EMAIL_BODY";"[header]

[sender_name] shared: [object_title] with you.

Click on the below link:

http://[host][object_link]

[object_description]

Message:

[message]

[footer]"


"_EMAIL_SESSOCIALSHARE_TELLAFRIEND_EMAIL_TITLE";"Email Friends"
"_EMAIL_SESSOCIALSHARE_TELLAFRIEND_EMAIL_DESCRIPTION";"This is the email that sent to member when a user share from site."
"_EMAIL_SESSOCIALSHARE_TELLAFRIEND_EMAIL_SUBJECT";"[sender_name] shared content with you."
"_EMAIL_SESSOCIALSHARE_TELLAFRIEND_EMAIL_BODY";"[header]

Your friend [sender_name] with email id: [sender_email] shared content with you.

To view and explore, click on the link below, or copy-paste it in your browser:
[object_link]

Your friend has also sent a message:

[message]

[footer]"

"ADMIN_ACTIVITY_TYPE_SESSOCIALSHARE_SHARE";"When a user (subject) share a (object) content."
"_ACTIVITY_ACTIONTYPE_SESSOCIALSHARE_SHARE";"When I shared from social share plugin"
