"Enter Your Place";"Enter Your Place"
"7 Day Forecast";"7 Day Forecast"
"Hourly";"Hourly"
"Feels Like ";"Feels Like "
"Visibility ";"Visibility "
"Humidity ";"Humidity "
"Barometer ";"Barometer "
"Due Point ";"Due Point "
"Precipitation-";"Precipitation-"
"Humidity-";"Humidity-"
"UV Index-";"UV Index-"
"Good Morning";"Good Morning"
"Good Afternoon";"Good Afternoon"
"Good Evening";"Good Evening"
"It's ";"It's "
" Right now ";" Right now "
" The Forecast today shows a low of ";" The Forecast today shows a low of "
" degree.";" degree."
"Your Location";"Your Location"
"Sidebar Weather";"Sidebar Weather"
"Weather with Background Image - Design 1";"Weather with Background Image - Design 1"
"Weather with Info Graphics";"Weather with Info Graphics"
"Weather with Background Image - Design 2";"Weather with Background Image - Design 2"
"Partly Cloudy";"Partly Cloudy"
"Mostly Cloudy";"Mostly Cloudy"
"Clear";"Clear"
"Partly Cloudy Day";"Partly Cloudy Day"
"Wind";"Wind"
"Fog";"Fog"
"Cloudy";"Cloudy"
"Rain";"Rain"
"Partly Cloudy Night";"Partly Cloudy Night"
"Clear Day";"Clear Day"
"Monday";"Monday"
"Tuesday";"Tuesday"
"Wednesday";"Wednesday"
"Thursday";"Thursday"
"Friday";"Friday"
"Saturday";"Saturday"
"Sunday";"Sunday"
"Light Rain";"Light Rain"
"Snow";"Snow"
"Day";"Day"
"Snow and Windy";"Snow and Windy"
"Light Snow";"Light Snow"
"Foggy";"Foggy"
"Overcast";"Overcast"
"Sun";"Sun"
"Mon";"Mon"
"Tue";"Tue"
"Wed";"Wed"
"Thu";"Thu"
"Fri";"Fri"
"Sat";"Sat"
"Jan";"Jan"
"Feb";"Feb" 
"Mar";"Mar" 
"Apr";"Apr"
"May";"May"
"Jun";"Jun"
"Jul";"Jul"
"Aug";"Aug"
"Sep";"Sep"
"Oct";"Oct"
"Nov";"Nov"
"Dec";"Dec"
" Km/h SSW";" Km/h SSW"
