"SESJOB_PLUGIN";"Advanced Job Plugin"
"Save Changes";"Save Changes"
"Title";"Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Check Availability";"Check Availability"
"Enter Image URL to upload";"Enter Image URL to upload"
"Upload";"Upload"
"Show this job entry in search results";"Show this job entry in search results"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"Please wait till all photos uploaded.";"Please wait till all photos uploaded"
"You can use letters, numbers and periods.";"You can use letters, numbers and periods."
"Your photo has been removed.";"Your photo has been removed."
"Job entry doesn't exist or not authorized to delete";"Job entry doesn't exist or not authorized to delete"
"Your job entry has been deleted.";"Your job entry has been deleted."
"Your changes have been saved.";"Your changes have been saved."
"Choose 2nd Level Category";"Choose 2nd Level Category"
"Custom Url is not available. Please select another URL.";"Custom Url is not available. Please select another URL."
"Write Review for ""<b>%s</b>"".";"Write review for ""<b>%s</b>""."
"Edit Review for ""<b>%s</b>"".";"Edit review for ""<b>%s</b>""."
"The selected review has been deleted.";"The selected review has been deleted."
"Delete Review?";"Delete Review?"
"Are you sure that you want to delete this review? It will not be recoverable after being deleted.";"Are you sure that you want to delete this review? It will not be recoverable after being deleted."
"Compose your review below, then click ""Post Review"" button.";"Compose your review below, then click Post Review"" button."""
"You are already subscribed to this member\'s job.";"You are already subscribed to this member\'s job."
"You are now subscribed to this member\'s job.";"You are now subscribed to this member\'s job."
"You are no longer subscribed to this member\'s job.";"You are no longer subscribed to this member\'s job."
"Favourite";"Favourite"
"Un-Favourite";"Un-Favourite"
"Job shared successfully.";"Job shared successfully."
"Job Un-Favourited successfully";"Job Un-Favourited successfully"
"Job Liked successfully";"Job Liked successfully"
"Job Un-Liked successfully";"Job Un-Liked successfully"
"Review Un-Liked successfully";"Review Un-Liked successfully"
"Review Liked successfully";"Review Liked successfully"
"Delete Album";"Delete Album"
"Are you sure you want to delete this album? It will not be recoverable after being deleted.";"Are you sure you want to delete this album? It will not be recoverable after being deleted."
"Edit Album Settings";"Edit Album Settings"
"Album Title";"Album Title"
"Please specify an album title";"Please specify an album title"
"Album Description";"Album Description"
"Save Album";"Save Album"
"Album Cover";"Album Cover"
"Job Contact Information";"Job Contact Information"
"Email";"Email"
"Phone";"Phone"
"Facebook";"Facebook"
"Website";"Website"
"Save Contact Information";"Save Contact Information"
"SEO Details";"SEO Details"
"SEO Title";"SEO Title"
"Enter list of keywords seperated by a comma (,)";"Enter list of keywords seperated by a comma (,)"
"SEO Keywords";"SEO Keywords"
"SEO Description";"SEO Description"
"Job Styles";"Job Styles"
"Custom Job Styles";"Custom Job Styles"
"Remove Photo";"Remove Photo"
"Do you want to remove job profile photo? Doing so will set your photo back to the default photo.";"Do you want to remove job profile photo? Doing so will set your photo back to the default photo."
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Save Photo";"Save Photo"
"You can change the colors, fonts, and styles of your job by adding CSS code below. The contents of the text area below will be output between <style> tags on your event.";"You can change the colors, fonts, and styles of your job by adding CSS code below. The contents of the text area below will be output between <style> tags on your event."
"Delete Job Photo";"Delete Job Photo"
"Are you sure you want to delete this photo? It will not be recoverable after being deleted.";"Are you sure you want to delete this photo? It will not be recoverable after being deleted."
"Search Reviews:";"Search Reviews:"
"Browse By:";"Browse By:"
"Review Stars:";"Review Stars:"
"Recommended Reviews Only:";"Recommended Reviews Only:"
"Review";"Review"
"Review Title";"Review Title"
"Pros";"Pros"
"Cons";"Cons"
"Recommended Job";"Recommend Job"
"Do you recommend this job to other users?";"Do you recommend this job to other users?"
"Add New Photos";"Add New Photos"
