"SES - Recipes With Reviews & Location Plugin";"Recipe With Reviews"
"Save Changes";"Save Changes"
"Title";"Title"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Check Availability";"Check Availability"
"Enter Image URL to upload";"Enter Image URL to upload"
"Upload";"Upload"
"Show this recipe entry in search results";"Show this recipe entry in search results"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"Please wait till all photos uploaded.";"Please wait till all photos uploaded"
"You can use letters, numbers and periods.";"You can use letters, numbers and periods."
"Your photo has been removed.";"Your photo has been removed."
"Sesrecipe entry doesn't exist or not authorized to delete";"Recipe entry doesn't exist or not authorized to delete"
"Your sesrecipe entry has been deleted.";"Your recipe entry has been deleted."
"Your changes have been saved.";"Your changes have been saved."
"Choose 2nd Level Category";"Choose 2nd Level Category"
"Custom Url is not available. Please select another URL.";"Custom Url is not available. Please select another URL."
"Write Review for ""<b>%s</b>"".";"Write review for ""<b>%s</b>""."
"Edit Review for ""<b>%s</b>"".";"Edit review for ""<b>%s</b>""."
"The selected review has been deleted.";"The selected review has been deleted."
"Delete Review?";"Delete Review?"
"Are you sure that you want to delete this review? It will not be recoverable after being deleted.";"Are you sure that you want to delete this review? It will not be recoverable after being deleted."
"Compose your review below, then click ""Post Review"" button.";"Compose your review below, then click Post Review"" button."""
"You are already subscribed to this member\'s recipe.";"You are already subscribed to this member\'s recipe."
"You are now subscribed to this member\'s recipe.";"You are now subscribed to this member\'s recipe."
"You are no longer subscribed to this member\'s recipe.";"You are no longer subscribed to this member\'s recipe."
"Favourite";"Favourite"
"Un-Favourite";"Un-Favourite"
"Recipe shared successfully.";"Recipe shared successfully."
"Recipe Un-Favourited successfully";"Recipe Un-Favourited successfully"
"Recipe Liked successfully";"Recipe Liked successfully"
"Recipe Un-Liked successfully";"Recipe Un-Liked successfully"
"Review Un-Liked successfully";"Review Un-Liked successfully"
"Review Liked successfully";"Review Liked successfully"
"Delete Album";"Delete Album"
"Are you sure you want to delete this album? It will not be recoverable after being deleted.";"Are you sure you want to delete this album? It will not be recoverable after being deleted."
"Edit Album Settings";"Edit Album Settings"
"Album Title";"Album Title"
"Please specify an album title";"Please specify an album title"
"Album Description";"Album Description"
"Save Album";"Save Album"
"Album Cover";"Album Cover"
"Recipe Contact Information";"Recipe Contact Information"
"Email";"Email"
"Phone";"Phone"
"Facebook";"Facebook"
"Website";"Website"
"Save Contact Information";"Save Contact Information"
"SEO Details";"SEO Details"
"SEO Title";"SEO Title"
"Enter list of keywords seperated by a comma (,)";"Enter list of keywords seperated by a comma (,)"
"SEO Keywords";"SEO Keywords"
"SEO Description";"SEO Description"
"Recipe Styles";"Recipe Styles"
"Custom Sesrecipe Styles";"Custom Sesrecipe Styles"
"Remove Photo";"Remove Photo"
"Do you want to remove recipe profile photo? Doing so will set your photo back to the default photo.";"Do you want to remove recipe profile photo? Doing so will set your photo back to the default photo."
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Save Photo";"Save Photo"
"You can change the colors, fonts, and styles of your recipe by adding CSS code below. The contents of the text area below will be output between <style> tags on your event.";"You can change the colors, fonts, and styles of your recipe by adding CSS code below. The contents of the text area below will be output between <style> tags on your event."
"Delete Recipe Photo";"Delete Recipe Photo"
"Are you sure you want to delete this photo? It will not be recoverable after being deleted.";"Are you sure you want to delete this photo? It will not be recoverable after being deleted."
"Search Reviews:";"Search Reviews:"
"Browse By:";"Browse By:"
"Review Stars:";"Review Stars:"
"Recommended Reviews Only:";"Recommended Reviews Only:"
"Review";"Review"
"Review Title";"Review Title"
"Pros";"Pros"
"Cons";"Cons"
"Recommended Recipe";"Recommend Recipe"
"Do you recommend this recipe to other users?";"Do you recommend this recipe to other users?"
"Add New Photos";"Add New Photos"
"Choose photos on your computer to add to this album.";"Choose photos on your computer to add to this album."
"Choose Album";"Choose Album"
"Drag & Drop";"Drag & Drop"
"From URL";"From URL"
"Multi Upload";"Multi Upload"
"Drag & Drop Photos Here";"Drag & Drop Photos Here"
"Claim For Recipe";"Claim For Recipe"
"Enter Recipe Title";"Enter Recipe Title"
"Your Name";"Your Name"
"Your Email";"Your Email"
"Contact Number";"Contact Number"
"Reason For Claim";"Reason For Claim"
"Write New Entry";"Write New Entry"
"All Reviews";"All Reviews"
"Recommended Only";"Recommended Only"
"Compose your new recipe entry below, then click ""Post Entry"" to publish the entry to your recipe.";"Compose your new recipe entry below, then click ""Post Entry"" to publish the entry to your recipe."
"Custom Url";"Custom Url"
"Category";"Category"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Upload photos";"Upload photos"
"Main Photo";"Main Photo"
"Recipe Description";"Recipe Description"
"Recipe Layout";"Recipe Layout"
"Set Your Recipe Template";"Set Your Recipe Template"
"Who may see this recipe entry?";"Who may see this recipe entry?"
"Who may post comments on this recipe entry?";"Who may post comments on this recipe entry?"
"Comment Privacy";"Comment Privacy"
"Privacy";"Privacy"
"Status";"Status"
"Post Entry";"Post Entry"
"Video Uploads";"Video Uploads"
"Who may upload videos to this recipe?";"Who may upload videos to this recipe?"
"Music Uploads";"Music Uploads"
"Who may upload musics to this recipe?";"Who may upload musics to this recipe?"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this recipe entry?";"Are you sure you want to delete this recipe entry?"
"Edit Recipe Entry";"Edit Recipe Entry"
"Edit your entry below, then click ""Save Changes"" to publish the entry on your recipe.";"Edit your entry below, then click ""Save Changes"" to publish the entry on your recipe."
"Custom Fields Entry";"Custom Fields Entry"
"Edit custom fields below, then click ""Post Form"" to publish the entry on your recipe.";"Edit custom fields below, then click ""Post Form"" to publish the entry on your recipe."
"Choose the location.";"Choose the location."
"Add Location";"Add Location"
"Edit Location";"Edit Location"
"Search Recipes";"Search Recipes"
"Browse By";"Browse By"
"Only Recipes With Photos";"Only Recipes With Photos"
"Sesrecipe Styles";"Sesrecipe Styles"
"Subscribe";"Subscribe"
"Unsubscribe";"Unsubscribe"
"Edit Review";"Edit Review"
"Delete Review";"Delete Review"
"Back To Recipe";"Back To Recipe"
"Cancel Uploading";"Cancel Uploading"
"Please fill the red mark fields";"Please fill the red mark fields"
"Submitting Form ...";"Submitting Form ..."
"Edit Photo";"Edit Photo"
"Image Description";"Image Description"
"Photo Albums";"Photo Albums"
"View More";"View More"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s recipe";"%s recipe";"%s recipes"
"%s favourite";"%s favourite";"%s favourites"
"%s rating";"%s rating";"%s ratings"
"%s photo";"%s photo";"%s photos"
"Albums";"Albums"
"Recipe Roles";"Recipe Roles"
"Contact Information";"Contact Information"
"Below, you can add admins to your recipe who all will be able to do anything on your recipe as you do including editing, creating sub recipe, etc.";"Below, you can add admins to your recipe who all will be able to do anything on your recipe as you do including editing, creating sub recipe, etc."
"Type Member Name";"Type Member Name"
"Add Another Member";"Add Another Member"
"Save Admin";"Add Admin"
"Admins";"Admins"
"And so when Rihanna, in the middle of soaking up the sun on her swan float — a required activity for all celebrities — realized that she was losing her balance, her priorities were clear. RiRi gloriously emerged like Aphrodite from the water, wine glass in hand.";"Here, you can see a list of admins added by you for this recipe."
"Design 1";"Design 1"
"Design 2";"Design 2"
"Design 3";"Design 3"
"Design 4";"Design 4"
"View Recipe";"View Recipe"
"Delete Recipe";"Delete Recipe"
"FEATURED";"FEATURED"
"SPONSORED";"SPONSORED"
"VERIFIED";"VERIFIED"
"Location";"Location"
"Name";"Name"
"Enter a location";"Enter a location"
"Sesrecipes";"Sesrecipes"
"You have already uploaded the maximum number of entries allowed.";"You have already uploaded the maximum number of entries allowed."
"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first.";"If you would like to upload a new entry, please <a href=""%1$s"">delete</a> an old one first."
"Twitter";"Twitter"
"Pinterest";"Pinterest"
"by";"by"
"Read More...";"Read More..."
"Edit Recipe";"Edit Recipe"
"Start Time";"Start Time"
"Recipe Schedule date is in the past. Please enter an recipe scheduled date greater than or equal to today\'s date.'";"Recipe Schedule date is in the past. Please enter an recipe scheduled date greater than or equal to today\'s date.'"
"Edit Thumbnail";"Edit Thumbnail"
"Read More";"Read More"
"Share Review";"Share Review"
"Description";"Description"
"recipes found.";"recipes found."
"recipe found.";"recipe found."
"List View";"List View"
"Advanced List View";"Advanced List View"
"Grid View";"Grid View"
"Advanced Grid View";"Advanced Grid View"
"Super Advanced Grid View";"Super Advanced Grid View"
"Pinboard View";"Pinboard View"
" by ";" by "
