"SES - Page Directories Plugin";"Page Directories"

#Form/Album.php
"Album Title";"Album Title"
"Album Description";"Album Description"
"Drag & Drop";"Drag & Drop"
"Multi Upload";"Multi Upload"
"From URL";"From URL"
"Drag & Drop Photos Here";"Drag & Drop Photos Here"

#Form/Create.php
"Create New Page";"Create New Page"
"Page Title";"Page Title"
"Custom Url";"Custom Url"
"Check Availability";"Check Availability"
"Tags (Keywords)";"Tags (Keywords)"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Profile Type";"Profile Type"
"Design 1";"Design 1"
"Design 2";"Design 2"
"Design 3";"Design 3"
"Design 4";"Design 4"
"Page Profile Page Layout";"Page Profile Page Layout"
"Set Your Page Template";"Set Your Page Template"
"Price (USD)";"Price (USD)"
"Price Type";"Price Type"
"Choose Price Type";"Choose Price Type"
"Show Price";"Show Price"
"Show Starting Price";"Show Starting Price"
"Mark Page as Adult";"Mark Page as Adult"
"The users of your site which are below 18 will not able to see your page";"The users of your site which are below 18 will not able to see your page"
"Enable Page Lock";"Enable Page Lock"
"Set Lock Password";"Set Lock Password"
"Enable Page Joining";"Enable Page Joining"
"Do you want to allow users to join your Page?";"Do you want to allow users to join your Page?"
"Approve members";"Approve members"
"When people try to join your Page, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join your Page, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."
"Auto-Approve Posts";"Auto-Approve Posts"
"When people try to post on your Page, should their posts be auto-approved or wait for Page admins approval? The feed will display on the posted date in your Page timeline.";"When people try to post on your Page, should their posts be auto-approved or wait for Page admins approval? The feed will display on the posted date in your Page timeline."
"New posts will be auto-approved.";"New posts will be auto-approved."
"New posts must be approved by this Page admins.";"New posts must be approved by this Page admins."
"Member's Singular Title";"Member's Singular Title"
"Member's Plural Title";"Member's Plural Title"
"Other's Tagging Your Page";"Other's Tagging Your Page"
"Let members invite others?";"Let members invite others?"
"Enter the title for members of your Page. E.g. Music Artist, Blogger, Painter, Dance Lover etc.";"Enter the title for members of your Page. E.g. Music Artist, Blogger, Painter, Dance Lover etc."
"Enter the title for members of your Page. E.g. Music Artists, Bloggers, Painters, Dance Lovers etc.";"Enter the title for members of your Page. E.g. Music Artists, Bloggers, Painters, Dance Lovers etc."
"Do you want to allow other People and Pages to tag your Page?";"Do you want to allow other People and Pages to tag your Page?"
"Yes, allow members to invite other people.";"Yes, allow members to invite other people."
"No, do not allow members to invite other people.";"No, do not allow members to invite other people."
"Main Photo";"Main Photo"
"Add photo for your page";"Add photo for your page"
"Page Guests Only";"Page Guests Only"
"Who may see this page?";"Who may see this page?"
"Associated Sub Page Creation Privacy";"Associated Sub Page Creation Privacy"
"Who may create sub page in this page?";"Who may create sub page in this page?"
"Choose the Networks to which this Page will be displayed.";"Choose the Networks to which this Page will be displayed."
"Who may post comments on this page?";"Who may post comments on this page?"
"Who may upload albums to this page?";"Who may upload albums to this page?"
"Album Upload Privacy";"Album Upload Privacy"
"Video Upload Privacy";"Video Upload Privacy"
"Who may upload videos to this page?";"Who may upload videos to this page?"
"Status";"Status"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"People can search for this page";"People can search for this page"

#Form/Dashboard/Backgroundphoto.php
"Add background photo for your page";"Add background photo for your page"
"Remove Photo";"Remove Photo"

#Model/Model/Page.php
"Profile Photos";"Profile Photos"
"Cover Photos";"Cover Photos"
"Thank you for posting. Your post has been submitted for Page Owner's approval and will display once it is approved.";"Thank you for posting. Your post has been submitted for Page Owner's approval and will display once it is approved."

#controllers/AlbumController.php
"The selected albums have been successfully deleted";"The selected albums have been successfully deleted"

#controllers/DashboardController.php
"Custom Url not available.Please select other.";"Custom Url not available.Please select other."
"Monthly Like Report For ";"Monthly Like Report For "
"Monthly Likes";"Monthly Likes"
"Monthly Comment Report For ";"Monthly Comment Report For "
"Monthly Comments";"Monthly Comments"
"Monthly Favourite Report For ";"Monthly Favourite Report For "
"Monthly Favourites";"Monthly Favourites"
"Monthly Views Report For ";"Monthly Views Report For "
"Monthly Views";"Monthly Views"
"Weekly Like Report For ";"Weekly Like Report For "
"Weekly Likes";"Weekly Likes"
"Weekly Comment Report For ";"Weekly Comment Report For "
"Weekly Comments";"Weekly Comments"
"Weekly Favourite Report For ";"Weekly Favourite Report For "
"Weekly Favourites";"Weekly Favourites"
"Weekly Views Report For ";"Weekly Views Report For "
"Weekly Views";"Weekly Views"
"Daily Like Report for ";"Daily Like Report for "
"Daily Likes";"Daily Likes"
"Daily Comment Report for ";"Daily Comment Report for "
"Daily Comments";"Daily Comments"
"Daily Favourite Report for ";"Daily Favourite Report for "
"Daily Favourites";"Daily Favourites"
"Daily Views Report for ";"Daily Views Report for "
"Daily Views";"Daily Views"
"Hourly Like Report for ";"Hourly Like Report for "
"Hourly Likes";"Hourly Likes"
"Hourly Comment Report for ";"Hourly Comment Report for "
"Hourly Comments";"Hourly Comments"
"Hourly Favourite Report for ";"Hourly Favourite Report for "
"Hourly Favourites";"Hourly Favourites"
"Hourly Views Report for ";"Hourly Views Report for "
"Hourly Views";"Hourly Views"
"Your update message has been sent successfully.";"Your update message has been sent successfully."
"Invalid email format.";"Invalid email format."
"Invalid WebSite URL.";"Invalid WebSite URL."
"Invalid Facebook URL.";"Invalid Facebook URL."
"Invalid Linkedin URL.";"Invalid Linkedin URL."
"Invalid Twitter URL.";"Invalid Twitter URL."
"Invalid Instagram URL.";"Invalid Instagram URL."
"Invalid Pinterest URL.";"Invalid Pinterest URL."
"Page entry doesn't exist or not authorized to delete";"Page entry doesn't exist or not authorized to delete"
"Your page has been deleted successfully!";"Your page has been deleted successfully!"

#controllers/MemberController.php
"Page joined";"Page joined"
"Your invite request has been sent.";"Your invite request has been sent."
"Your invite request has been cancelled.";"Your invite request has been cancelled."
"Page left";"Page left"
"You have accepted the invite to the page %s";"You have accepted the invite to the page %s"
"Page invite accepted";"Page invite accepted"
"You have ignored the invite to the page %s";"You have ignored the invite to the page %s"
"Page invite rejected";"Page invite rejected"
"Page member removed.";"Page member removed."
"Page request approved";"Page request approved"
"Members invited";"Members invited"

#controllers/RequestController.php
"You have accepted the page link invitation request of your page %s";"You have accepted the page link invitation request of your page %s"
"Page link invitation accepted";"Page link invitation accepted"

#externals/scripts/core.js
"Photo added as Favourite successfully";"Photo added as Favourite successfully"
"Album added as Favourite successfully";"Album added as Favourite successfully"
"Photo Unfavourited successfully";"Photo Unfavourited successfully"
"Album Unfavourited successfully";"Album Unfavourited successfully"

#views/scripts/_composeSespage.tpl
"Add Page";"Add Page"

#views/scripts/_dataLabel.tpl
"Featured";"Featured"
"Sponsored";"Sponsored"
"Verified";"Verified"
"Hot";"Hot"

#views/scripts/_dataSharing.tpl
"Contact";"Contact"
"Join";"Join"
"Joined";"Joined"
"Requested";"Requested"
"Share This Page";"Share This Page"

#views/scripts/_dataStatics.tpl
"Likes";"Likes"
"Comments";"Comments"
"Views";"Views"
"Favourites";"Favourites"
"Like";"Like"
"Comment";"Comment"
"View";"View"
"Favourite";"Favourite"
"Follower";"Follower"
"Member";"Member"
"%s View";"%s View";"%s Views"
"%s Comment";"%s Comment";"%s Comments"
"%s Like";"%s Like";"%s Likes"
"%s Favourite";"%s Favourite";"%s Favourites"
"%s Follower";"%s Follower";"%s Followers"
"%s Member";"%s Member";"%s Members"

#views/scripts/_location.tpl
"Location";"Location"
"This is an online page";"This is an online page"
"Venue Name";"Venue Name"
"Address";"Address"
"Address 2";"Address 2"
"City";"City"
"State";"State"
"Zip";"Zip"
"Reset Location";"Reset Location"

#views/scripts/_showPageListGrid.tpl
"pages found.";"pages found."
"page found.";"page found."
"List View";"List View"
"Advanced List View";"Advanced List View"
"Grid View";"Grid View"
"Advanced Grid View";"Advanced Grid View"
"Plain Grid View";"Plain Grid View"
"Pinboard View";"Pinboard View"
"Map View";"Map View"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%s favourite";"%s favourite";"%s favourites"
"%s follower";"%s follower";"%s followers"
"FEATURED";"FEATURED"
"SPONSORED";"SPONSORED"
"HOT";"HOT"
"by ";"by "
"There are no results that match your search. Please try again.";"There are no results that match your search. Please try again."
"Create New Associates Sub Page";"Create New Associates Sub Page"
"View More";"View More"

#views/scripts/album/create.tpl
"Photo Albums";"Photo Albums"
"Add New Photos";"Add New Photos"
"Cancel Uploading";"Cancel Uploading"
"Main Photo";"Main Photo"
"Please fill the red mark fields";"Please fill the red mark fields"
"Submitting Form ...";"Submitting Form ..."

#views/scripts/album/edit-photo.tpl
"Edit Photo";"Edit Photo"
"Image Description";"Image Description"

#views/scripts/album/editphotos.tpl
"Manage Photos";"Manage Photos"

#views/scripts/ajax/favourite-page.tpl
"People who added this page as Favourite";"People who added this page as Favourite"

#view/scripts/ajax/follow-page.tpl
"People who Followed this page";"People who Followed this page"

#views/scripts/ajax/get-user-pages.tpl
"YOU";"YOU"
"PERSONAL";"PERSONAL"

#views/scripts/ajax/like-page.tpl
"People who Liked this page";"People who Liked this page"

#views/scripts/dashboard/advertise-page.tpl
"Advertise Page";"Advertise Page"
"Make your Page more popular inside and outside this social network by advertising it using the below mentioned effective ways.";"Make your Page more popular inside and outside this social network by advertising it using the below mentioned effective ways."
"Private Message";"Private Message"
"Invite your friends to like and follow your Page by sending them message in private.";"Invite your friends to like and follow your Page by sending them message in private."
"Share on Site";"Share on Site"
"Share your Page on this site with a beautiful ad to make it more popular among site members.";"Share your Page on this site with a beautiful ad to make it more popular among site members."
"Quick Share on Site";"Quick Share on Site"
"Share your Page on this site by making a quick post.";"Share your Page on this site by making a quick post."
"Tell a friend";"Tell a friend"
"Invite your friends to join your Page by sharing the importance of the Page with a small note.";"Invite your friends to join your Page by sharing the importance of the Page with a small note."
"Social Share";"Social Share"
