"ITEM_TYPE_CONTEST";"Contests"
"Here, you can add your Contact Details which will be visible to the users at your Contest View Page in ""Contact Info Section"".";"Here, you can add your Contact Details which will be visible to the users at your Contest View Page in ""Contact Info Section""."
"Contest start date can not be greater than or equal to the contest end date.";"Contest Start date can not be greater than or equal to the contest End date."
"Contest start date can not be past date please select gearter than or equal to today date.";"Contest Start date can not be a Past date, so please select a date greater than or equal to Today's date."
"Contest end date can not be less than or equla to the contest start date.";"Contest End date can not be less than or equal to the contest Start date."
"Contest end date can not be in past date.";"Contest End date can not be a Past date."
"Contest participation start date can not be in past date.";"Contest participation Start date can not be a Past date."
"Contest participation start date can not be in less than contest start date.";"Contest participation Start date can not be less than contest Start date."
"Contest participation start date can not be in grater than or equal to the contest end date.";"Contest participation Start date can not be greater than or equal to the contest End date."
"Contest participation start date can not be in grater than or equal to the participation end date.";"Contest participation start date can not be greater than or equal to the participation End date."
"Contest voting start date can not be in grater than or equal to the contest end date.";"Contest voting start date can not be greater than or equal to the contest End date."
"Contest voting start date can not be in grater than or equal to the contest voting end date.";"Contest voting Start date can not be in greater than or equal to the contest voting end date."
"Contest voting start date can not be in less than to the contest joining start date.";"Contest voting Start date can not be less than the contest Joining Start date."
"Contest voting end date can not be in less than to the contest joining end date.";"Contest voting End date can not be in less than the contest Joining End date."
"Contest end date can not be in less than to the contest joining end date and contest voting end date.";"Contest End date can not be in less than the contest Joining End date and contest Voting End date."
"Contest voting start date can not be in past date.";"Contest voting Start date can not be a Past date."
"Change Contest Award";"Change Contest Award"
"1st Prize Award";"1st Prize Award"
"Congratulation Message";"Congratulations Message"
"2nd Prize Award";"2nd Prize Award"
"3rd Prize Award";"3rd Prize Award"
"4th Prize Award";"4th Prize Award"
"5th Prize Award";"5th Prize Award"
"Add background photo for your contest";"Add background photo for your contest"
"Remove";"Remove"
" or ";" or "
"Contest Contact Information";"Contest Contact Information"
"Contest Contact Name";"Contest Contact Name"
"Contest Contact Email";"Contest Contact Email"
"Contest Contact Phone";"Contest Contact Phone"
"Contest Contact Facebook URL";"Contest Contact Facebook URL"
"Contest Contact Linkedin URL";"Contest Contact Linkedin URL"
"Contest Contact Twitter URL";"Contest Contact Twitter URL"
"Contest Contact Website URL";"Contest Contact Website URL"
"Save Changes";"Save Changes"
"Current Photo";"Current Photo"
"Choose New Photo";"Choose New Photo"
"Save Photo";"Save Photo"
"Remove Photo";"Remove Photo"
"Change Contest Overview";"Change Contest Overview"
"Detailed Overview";"Detailed Overview"
"Below, you can enter rules for your contest.";"Below, you can enter rules for your contest."
"Rules";"Rules"
"Contest SEO Title";"Contest SEO Title"
"Enter list of keywords seperated by a comma (,)";"Enter list of keywords seperated by a comma (,)"
"Contest SEO Description";"Contest SEO Description"
"Contest Rules";"Contest Rules"
"Registration";"Registration"
"Upload Content";"Upload Content"
"I Accept";"I Accept"
"I Don’t Accept";"I Don’t Accept"
"1 Basic Info";"1 Basic Info"
"Entry Title";"Entry Title"
"Entry Main Photo";"Entry Main Photo"
"Add photo for your enrty";"Add photo for your enrty"
"Name";"Name"
"Gender";"Gender"
"Age";"Age"
"Email";"Email"
"Phone No.";"Phone No."
"Next";"Next"
"Write";"Write"
"Link My Blog";"Link My Blog"
"Upload your text here";"Upload your text here"
"Upload";"Upload"
"Capture";"Capture"
"From URL";"From URL"
"Link My Photo";"Link My Photo"
"Enter Image URL to upload";"Enter Image URL to upload"
"Add photo for your contest";"Add photo for your contest"
"Upload Video";"Upload Video"
"Link My Video";"Link My Video"
"Select Your Video";"Select Your Video"
"Upload Audio";"Upload Audio"
"Link My Audio";"Link My Audio"
"Delete Entry";"Delete Entry"
"Are you sure you want to delete this contest entry?";"Are you sure you want to delete this contest entry?"
"Below, you can edit basic information about you and your entry.";"Below, you can edit basic information about your entry."
"Tags (Keywords)";"Tags (Keywords)"
"Create New Contest";"Create New Contest"
"Contest Title";"Contest Title"
"Media Type";"Media Type"
"Editor Type";"Editor Type"
"Choose the Editor type for entering the text in the entries of this contest.";"Choose the Editor type for entering the text in the entries of this contest."
"Category";"Category"
"2nd-level Category";"2nd-level Category"
"3rd-level Category";"3rd-level Category"
"Contest Description";"Contest Description"
"Design 1";"Design 1"
"Design 2";"Design 2"
"Design 3";"Design 3"
"Design 4";"Design 4"
"Contest Profile Page Layout";"Contest Profile Page Layout"
"Set Your Contest Template";"Set Your Contest Template"
"Show Votes";"Show Votes"
"Do you want to show number of votes during voting or after voting ends?";"Do you want to show number of votes during voting or after voting ends?"
"Show votes during Voting";"Show votes during Voting"
"Show votes after Voting ends";"Show votes after Voting ends"
"Main Photo";"Main Photo"
"Who may see this contest?";"Who may see this contest?"
"People can search for this contest";"People can search for this contest"
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Saved As Draft";"Saved As Draft"
"Published";"Published"
"Status";"Status"
"Delete Contest";"Delete Contest"
"Are you sure you want to delete this contest?";"Are you sure you want to delete this contest?"
